Time resolution is 1 ps
Time	State	Sample Valid	SPI CS	SPI CLK	TX Byte	RX Byte	Bytes Sent
656000	2	0	1	1	00	00	  0
657000	2	0	1	1	00	00	  0
657000	2	0	1	1	00	00	  0
657000	2	0	1	1	00	00	  0
657000	2	0	1	1	00	00	  0
657000	2	0	1	1	00	00	  0
658000	2	0	1	1	00	00	  0
658000	2	0	1	1	00	00	  0
658000	2	0	1	1	00	00	  0
658000	2	0	1	1	00	00	  0
658000	2	0	1	1	00	00	  0
659000	2	0	1	1	00	00	  0
659000	2	0	1	1	00	00	  0
659000	2	0	1	1	00	00	  0
659000	2	0	1	1	00	00	  0
659000	2	0	1	1	00	00	  0
660000	2	0	1	1	00	00	  0
660000	2	0	1	1	00	00	  0
660000	2	0	1	1	00	00	  0
660000	2	0	1	1	00	00	  0
660000	2	0	1	1	00	00	  0
661000	2	0	1	1	00	00	  0
661000	2	0	1	1	00	00	  0
661000	2	0	1	1	00	00	  0
661000	2	0	1	1	00	00	  0
661000	2	0	1	1	00	00	  0
662000	2	0	1	1	00	00	  0
662000	2	0	1	1	00	00	  0
662000	2	0	1	1	00	00	  0
662000	2	0	1	1	00	00	  0
662000	2	0	1	1	00	00	  0
663000	2	0	1	1	00	00	  0
663000	2	0	1	1	00	00	  0
663000	2	0	1	1	00	00	  0
663000	2	0	1	1	00	00	  0
663000	2	0	1	1	00	00	  0
664000	2	0	1	1	00	00	  0
664000	2	0	1	1	00	00	  0
664000	2	0	1	1	00	00	  0
664000	2	0	1	1	00	00	  0
664000	2	0	1	1	00	00	  0
665000	2	0	1	1	00	00	  0
665000	2	0	1	1	00	00	  0
665000	2	0	1	1	00	00	  0
665000	2	0	1	1	00	00	  0
665000	2	0	1	1	00	00	  0
666000	2	0	1	1	00	00	  0
666000	2	0	1	1	00	00	  0
666000	2	0	1	1	00	00	  0
666000	2	0	1	1	00	00	  0
666000	2	0	1	1	00	00	  0
667000	2	0	1	1	00	00	  0
667000	2	0	1	1	00	00	  0
667000	2	0	1	1	00	00	  0
667000	2	0	1	1	00	00	  0
667000	2	0	1	1	00	00	  0
668000	2	0	1	1	00	00	  0
668000	2	0	1	1	00	00	  0
668000	2	0	1	1	00	00	  0
668000	2	0	1	1	00	00	  0
668000	2	0	1	1	00	00	  0
669000	2	0	1	1	00	00	  0
669000	2	0	1	1	00	00	  0
669000	2	0	1	1	00	00	  0
669000	2	0	1	1	00	00	  0
669000	2	0	1	1	00	00	  0
670000	2	0	1	1	00	00	  0
670000	2	0	1	1	00	00	  0
670000	2	0	1	1	00	00	  0
670000	2	0	1	1	00	00	  0
670000	2	0	1	1	00	00	  0
671000	2	0	1	1	00	00	  0
671000	2	0	1	1	00	00	  0
671000	2	0	1	1	00	00	  0
671000	2	0	1	1	00	00	  0
671000	2	0	1	1	00	00	  0
672000	2	0	1	1	00	00	  0
672000	2	0	1	1	00	00	  0
672000	2	0	1	1	00	00	  0
672000	2	0	1	1	00	00	  0
672000	2	0	1	1	00	00	  0
673000	2	0	1	1	00	00	  0
673000	2	0	1	1	00	00	  0
673000	2	0	1	1	00	00	  0
673000	2	0	1	1	00	00	  0
673000	2	0	1	1	00	00	  0
674000	2	0	1	1	00	00	  0
674000	2	0	1	1	00	00	  0
674000	2	0	1	1	00	00	  0
674000	2	0	1	1	00	00	  0
674000	2	0	1	1	00	00	  0
675000	2	0	1	1	00	00	  0
675000	2	0	1	1	00	00	  0
675000	2	0	1	1	00	00	  0
675000	2	0	1	1	00	00	  0
675000	2	0	1	1	00	00	  0
676000	2	0	1	1	00	00	  0
676000	2	0	1	1	00	00	  0
676000	2	0	1	1	00	00	  0
676000	2	0	1	1	00	00	  0
676000	2	0	1	1	00	00	  0
677000	2	0	1	1	00	00	  0
677000	2	0	1	1	00	00	  0
677000	2	0	1	1	00	00	  0
677000	2	0	1	1	00	00	  0
677000	2	0	1	1	00	00	  0
678000	2	0	1	1	00	00	  0
678000	2	0	1	1	00	00	  0
678000	2	0	1	1	00	00	  0
678000	2	0	1	1	00	00	  0
678000	2	0	1	1	00	00	  0
679000	2	0	1	1	00	00	  0
679000	2	0	1	1	00	00	  0
679000	2	0	1	1	00	00	  0
679000	2	0	1	1	00	00	  0
679000	2	0	1	1	00	00	  0
680000	2	0	1	1	00	00	  0
680000	2	0	1	1	00	00	  0
680000	2	0	1	1	00	00	  0
680000	2	0	1	1	00	00	  0
680000	2	0	1	1	00	00	  0
681000	2	0	1	1	00	00	  0
681000	2	0	1	1	00	00	  0
681000	2	0	1	1	00	00	  0
681000	2	0	1	1	00	00	  0
681000	2	0	1	1	00	00	  0
682000	2	0	1	1	00	00	  0
682000	2	0	1	1	00	00	  0
682000	2	0	1	1	00	00	  0
682000	2	0	1	1	00	00	  0
682000	2	0	1	1	00	00	  0
683000	2	0	1	1	00	00	  0
683000	2	0	1	1	00	00	  0
683000	2	0	1	1	00	00	  0
683000	2	0	1	1	00	00	  0
683000	2	0	1	1	00	00	  0
684000	2	0	1	1	00	00	  0
684000	2	0	1	1	00	00	  0
684000	2	0	1	1	00	00	  0
684000	2	0	1	1	00	00	  0
684000	2	0	1	1	00	00	  0
685000	2	0	1	1	00	00	  0
685000	2	0	1	1	00	00	  0
685000	2	0	1	1	00	00	  0
685000	2	0	1	1	00	00	  0
685000	2	0	1	1	00	00	  0
686000	2	0	1	1	00	00	  0
686000	2	0	1	1	00	00	  0
686000	2	0	1	1	00	00	  0
686000	2	0	1	1	00	00	  0
686000	2	0	1	1	00	00	  0
687000	2	0	1	1	00	00	  0
687000	2	0	1	1	00	00	  0
687000	2	0	1	1	00	00	  0
687000	2	0	1	1	00	00	  0
687000	2	0	1	1	00	00	  0
688000	2	0	1	1	00	00	  0
688000	2	0	1	1	00	00	  0
688000	2	0	1	1	00	00	  0
688000	2	0	1	1	00	00	  0
688000	2	0	1	1	00	00	  0
689000	2	0	1	1	00	00	  0
689000	2	0	1	1	00	00	  0
689000	2	0	1	1	00	00	  0
689000	2	0	1	1	00	00	  0
689000	2	0	1	1	00	00	  0
690000	2	0	1	1	00	00	  0
690000	2	0	1	1	00	00	  0
690000	2	0	1	1	00	00	  0
690000	2	0	1	1	00	00	  0
690000	2	0	1	1	00	00	  0
691000	2	0	1	1	00	00	  0
691000	2	0	1	1	00	00	  0
691000	2	0	1	1	00	00	  0
691000	2	0	1	1	00	00	  0
691000	2	0	1	1	00	00	  0
692000	2	0	1	1	00	00	  0
692000	2	0	1	1	00	00	  0
692000	2	0	1	1	00	00	  0
692000	2	0	1	1	00	00	  0
692000	2	0	1	1	00	00	  0
693000	2	0	1	1	00	00	  0
693000	2	0	1	1	00	00	  0
693000	2	0	1	1	00	00	  0
693000	2	0	1	1	00	00	  0
693000	2	0	1	1	00	00	  0
694000	2	0	1	1	00	00	  0
694000	2	0	1	1	00	00	  0
