timestamp_separation,timestamp_sync_event,offset,mag_sampling_leading_time
24876231199,24746591197,369600,0
25063268399,24933628397,372400,0
25250305599,25120665597,375200,0
25437342799,25307702797,378000,0
25624379999,25494739997,380800,0
25811417199,25681777197,383600,0
25998454399,25868814397,386400,0
26185491599,26055851597,389200,0
26372528799,26242888797,392000,0
26559565999,26429925997,394800,0
26746603199,26616963197,397600,0
26933640399,26804000397,400400,0
27120677599,26991037597,403200,0
27307714799,27178074797,406000,0
27494751999,27365111997,408800,0
27681789199,27552149197,411600,0
27868826399,27739186397,414400,0
28055863599,27926223597,417200,0
28242900799,28113260797,420000,0
28429937999,28300297997,422800,0
28616975199,28487335197,425600,0
28804012399,28674372397,428400,0
28991049599,28861409597,431200,0
29178086799,29048446797,434000,0
29365123999,29235483997,436800,0
29552161199,29422521197,439600,0
29739198399,29609558397,442400,0
29926235599,29796595597,445200,0
30113272799,29983632797,448000,0
30300309999,30170669997,450800,0
30487347199,30357707197,453600,0
30674384399,30544744397,456400,0
30861421599,30731781597,459200,0
31048458799,30918818797,462000,0
31235495999,31105855997,464800,0
31422533199,31292893197,467600,0
31609570399,31479930397,470400,0
31796607599,31666967597,473200,0
31983644799,31854004797,476000,0
32170681999,32041041997,478800,0
32357719199,32228079197,481600,0
32544756399,32415116397,484400,0
32731793599,32602153597,487200,0
32918830799,32789190797,490000,0
33105867999,32976227997,492800,0
33292905199,33163265197,495600,0
33479942399,33350302397,498400,0
33666979599,33537339597,501200,0
33854016799,33724376797,504000,0
34041053999,33911413997,506800,0
34228091199,34098451197,509600,0
34415128399,34285488397,512400,0
34602165599,34472525597,515200,0
34789202799,34659562797,518000,0
34976239999,34846599997,520800,0
35163277199,35033637197,523600,0
35350314399,35220674397,526400,0
35537351599,35407711597,529200,0
35724388799,35594748797,532000,0
35911425999,35781785997,534800,0
36098463199,35968823197,537600,0
36285500399,36155860397,540400,0
36472537599,36342897597,543200,0
36659574799,36529934797,546000,0
36846611999,36716971997,548800,0
37033649199,36904009197,551600,0
37220686399,37091046397,554400,0
37407723599,37278083597,557200,0
37594760799,37465120797,560000,0
37781797999,37652157997,562800,0
37968835199,37839195197,565600,0
38155872399,38026232397,568400,0
38342909599,38213269597,571200,0
38529946799,38400306797,574000,0
38716983999,38587343997,576800,0
38904021199,38774381197,579600,0
39091058399,38961418397,582400,0
39278095599,39148455597,585200,0
39465132799,39335492797,588000,0
39652169999,39522529997,590800,0
39839207199,39709567197,593600,0
40026244399,39896604397,596400,0
40213281599,40083641597,599200,0
40400318799,40270678797,602000,0
40587355999,40457715997,604800,0
40774393199,40644753197,607600,0
40961430399,40831790397,610400,0
41148467599,41018827597,613200,0
41335504799,41205864797,616000,0
41522541999,41392901997,618800,0
41709579199,41579939197,621600,0
41896616399,41766976397,624400,0
42083653599,41954013597,627200,0
42270690799,42141050797,630000,0
42457727999,42328087997,632800,0
42644765199,42515125197,635600,0
42831802399,42702162397,638400,0
43018839599,42889199597,641200,0
43205876799,43076236797,644000,0
43392913999,43263273997,646800,0
43579951199,43450311197,649600,0
43766988399,43637348397,652400,0
43954025599,43824385597,655200,0
44141062799,44011422797,658000,0
44328099999,44198459997,660800,0
44515137199,44385497197,663600,0
44702174399,44572534397,666400,0
44889211599,44759571597,669200,0
45076248799,44946608797,672000,0
45263285999,45133645997,674800,0
45450323199,45320683197,677600,0
45637360399,45507720397,680400,0
45824397599,45694757597,683200,0
46011434799,45881794797,686000,0
46198471999,46068831997,688800,0
46385509199,46255869197,691600,0
46572546399,46442906397,694400,0
46759583599,46629943597,697200,0
46946620799,46816980797,700000,0
47133657999,47004017997,702800,0
47320695199,47191055197,705600,0
47507732399,47378092397,708400,0
47694769599,47565129597,711200,0
47881806799,47752166797,714000,0
48068843999,47939203997,716800,0
48255881199,48126241197,719600,0
48442918399,48313278397,722400,0
48629955599,48500315597,725200,0
48816992799,48687352797,728000,0
49004029999,48874389997,730800,0
49191067199,49061427197,733600,0
49378104399,49248464397,736400,0
49565141599,49435501597,739200,0
49752178799,49622538797,742000,0
49939215999,49809575997,744800,0
50126253199,49996613197,747600,0
50313290399,50183650397,750400,0
50500327599,50370687597,753200,0
50687364799,50557724797,756000,0
50874401999,50744761997,758800,0
51061439199,50931799197,761600,0
51248476399,51118836397,764400,0
51435513599,51305873597,767200,0
51622550799,51492910797,770000,0
51809587999,51679947997,772800,0
51996625199,51866985197,775600,0
52183662399,52054022397,778400,0
52370699599,52241059597,781200,0
52557736799,52428096797,784000,0
52744773999,52615133997,786800,0
52931811199,52802171197,789600,0
53118848399,52989208397,792400,0
53305885599,53176245597,795200,0
53492922799,53363282797,798000,0
53679959999,53550319997,800800,0
53866997199,53737357197,803600,0
54054034399,53924394397,806400,0
54241071599,54111431597,809200,0
54428108799,54298468797,812000,0
54615145999,54485505997,814800,0
54802183199,54672543197,817600,0
54989220399,54859580397,820400,0
55176257599,55046617597,823200,0
55363294799,55233654797,826000,0
55550331999,55420691997,828800,0
55737369199,55607729197,831600,0
55924406399,55794766397,834400,0
56111443599,55981803597,837200,0
56298480799,56168840797,840000,0
56485517999,56355877997,842800,0
56671435199,56541795197,845600,0
56857352399,56727712397,848400,0
57043269599,56913629597,851200,0
57229186799,57099546797,854000,0
57415103999,57285463997,856800,0
57601021199,57471381197,859600,0
57786938399,57657298397,862400,0
57972855599,57843215597,865200,0
58158772799,58029132797,868000,0
58344689999,58215049997,870800,0
58530607199,58400967197,873600,0
58716524399,58586884397,876400,0
58902441599,58772801597,879200,0
59088358799,58958718797,882000,0
59274275999,59144635997,884800,0
59460193199,59330553197,887600,0
59646110399,59516470397,890400,0
59832027599,59702387597,893200,0
60017944799,59888304797,896000,0
60203861999,60074221997,898800,0
60389779199,60260139197,901600,0
60575696399,60446056397,904400,0
60761613599,60631973597,907200,0
60947530799,60817890797,910000,0
61133447999,61003807997,912800,0
61319365199,61189725197,915600,0
61505282399,61375642397,918400,0
61691199599,61561559597,921200,0
61877116799,61747476797,924000,0
62063033999,61933393997,926800,0
62248951199,62119311197,929600,0
62434868399,62305228397,932400,0
62620785599,62491145597,935200,0
62806702799,62677062797,938000,0
62992619999,62862979997,940800,0
63178537199,63048897197,943600,0
63364454399,63234814397,946400,0
63550371599,63420731597,949200,0
63736288799,63606648797,952000,0
63922205999,63792565997,954800,0
64108123199,63978483197,957600,0
64294040399,64164400397,960400,0
64479957599,64350317597,963200,0
64665874799,64536234797,966000,0
64851791999,64722151997,968800,0
65037709199,64908069197,971600,0
65223626399,65093986397,974400,0
65409543599,65279903597,977200,0
65595460799,65465820797,980000,0
65781377999,65651737997,982800,0
65967295199,65837655197,985600,0
66153212399,66023572397,988400,0
66339129599,66209489597,991200,0
66525046799,66395406797,994000,0
66710963999,66581323997,996800,0
66896881199,66767241197,999600,0
67082798399,66953158397,1002400,0
67268715599,67139075597,1005200,0
67454632799,67324992797,1008000,0
67640549999,67510909997,1010800,0
67826467199,67696827197,1013600,0
68012384399,67882744397,1016400,0
68198301599,68068661597,1019200,0
68384218799,68254578797,1022000,0
68570135999,68440495997,1024800,0
68756053199,68626413197,1027600,0
68941970399,68812330397,1030400,0
69127887599,68998247597,1033200,0
69313804799,69184164797,1036000,0
69499721999,69370081997,1038800,0
69685639199,69555999197,1041600,0
69871556399,69741916397,1044400,0
70057473599,69927833597,1047200,0
70243390799,70113750797,1050000,0
70429307999,70299667997,1052800,0
70615225199,70485585197,1055600,0
70801142399,70671502397,1058400,0
70987059599,70857419597,1061200,0
71172976799,71043336797,1064000,0
71358893999,71229253997,1066800,0
71544811199,71415171197,1069600,0
71730728399,71601088397,1072400,0
71916645599,71787005597,1075200,0
72102562799,71972922797,1078000,0
72288479999,72158839997,1080800,0
72474397199,72344757197,1083600,0
72660314399,72530674397,1086400,0
72846231599,72716591597,1089200,0
73032148799,72902508797,1092000,0
73218065999,73088425997,1094800,0
73403983199,73274343197,1097600,0
73589900399,73460260397,1100400,0
73775817599,73646177597,1103200,0
73961734799,73832094797,1106000,0
74147651999,74018011997,1108800,0
74333569199,74203929197,1111600,0
74519486399,74389846397,1114400,0
74705403599,74575763597,1117200,0
74892440799,74762800797,0,0
75079477999,74949837997,2800,0
75266515199,75136875197,5600,0
75453552399,75323912397,8400,0
75640589599,75510949597,11200,0
75827626799,75697986797,14000,0
76014663999,75885023997,16800,0
76201701199,76072061197,19600,0
76388738399,76259098397,22400,0
76575775599,76446135597,25200,0
76762812799,76633172797,28000,0
76949849999,76820209997,30800,0
77136887199,77007247197,33600,0
77323924399,77194284397,36400,0
77510961599,77381321597,39200,0
77697998799,77568358797,42000,0
